,Comp,A1,A2,yA2,TotEng,DHmix,DHmix_in_meV
1669,Ma4Ea4-Pb8I24,Ma,Ea,0.5452559700159763,-59.29528408375,1.7376182028458658,1737.6182028458657
1670,Ma4Ea4-Pb8I24,Ma,Ea,0.5452559700159763,-59.272152855,1.7607494315958618,1760.7494315958618
1671,Ma2Ea6-Pb8I24,Ma,Ea,0.7814595784117494,-63.42279060625,1.0543691627454308,1054.369162745431
1672,Ma1Ea7-Pb8I24,Ma,Ea,0.8432567844678681,-65.478122875,-0.09985286981572017,-99.85286981572017
1673,Ma1Ea7-Pb8I24,Ma,Ea,0.8964295705867037,-65.47982199375,0.6737992759372702,673.7992759372702
1674,Ma1Ea7-Pb8I24,Ma,Ea,0.8964295705867037,-65.49751843125,0.6561028384372634,656.1028384372634
1675,Ma1Ea7-Pb8I24,Ma,Ea,0.8964295705867037,-65.46647812875,0.6871431409372661,687.1431409372661
1676,Ma1Ea7-Pb8I24,Ma,Ea,0.8964295705867037,-65.4866307925,0.6669904771872694,666.9904771872694
1677,Ma3Ea5-Pb8I24,Ma,Ea,0.5934761912669133,-61.38499908875,0.3510374936108107,351.0374936108107
1678,Ma3Ea5-Pb8I24,Ma,Ea,0.5934761912669133,-61.34118238,0.39485420236081126,394.85420236081126
1679,Ma3Ea5-Pb8I24,Ma,Ea,0.5934761912669133,-61.385075,0.3509615823608172,350.9615823608172
1680,Ma1Ea7-Pb8I24,Ma,Ea,0.8673873478696972,-65.493655855,0.23647953495015628,236.47953495015628
1681,Ma3Ea5-Pb8I24,Ma,Ea,0.5934761912669133,-61.37763569375,0.35840088861080943,358.40088861080943
1682,Ma7Ea1-Pb8I24,Ma,Ea,0.08085996624816172,-53.0688018625,1.1924028127126647,1192.4028127126646
1683,Ma1Ea7-Pb8I24,Ma,Ea,0.8969236905603749,-65.46488017625,0.695946217982474,695.9462179824741
1684,Ma1Ea7-Pb8I24,Ma,Ea,0.8969236905603749,-65.51505696,0.6457694342324842,645.7694342324842
1685,Ma1Ea7-Pb8I24,Ma,Ea,0.8969236905603749,-65.53510098375,0.625725410482481,625.725410482481
1686,Ma1Ea7-Pb8I24,Ma,Ea,0.8969236905603749,-65.42842668625,0.7323997079824736,732.3997079824735
1687,Ma2Ea6-Pb8I24,Ma,Ea,0.6916320054988632,-63.407696545,-0.24037828195058353,-240.37828195058353
1688,Ma2Ea6-Pb8I24,Ma,Ea,0.6916320054988632,-63.43474622,-0.2674279569505842,-267.4279569505842
1689,Ma2Ea6-Pb8I24,Ma,Ea,0.6916320054988632,-63.42119160375,-0.2538733407005793,-253.87334070057932
1690,Ma2Ea6-Pb8I24,Ma,Ea,0.7291784515795375,-63.39741529,0.3173951503670125,317.3951503670125
1691,Ma1Ea7-Pb8I24,Ma,Ea,0.818185751182939,-65.4762882725,-0.4635973309446655,-463.5973309446655
1692,Ma8Ea0-Pb8I24,Ma,Ea,0.007653067789692547,-50.98726678375,2.206454589698853,2206.4545896988534
1693,Ma6Ea2-Pb8I24,Ma,Ea,0.29261539744791876,-55.1303628475,2.2186025664328675,2218.6025664328677
